name,birthcity,birthstate,countryName,LAT,LON,birthyear,gender,occupation,industry,domain
William Carlos Williams,Rutherford,NJ,United States,40.820314,-74.106041,1883,Male,Writer,Language,Humanities
Seamus Heaney,Castledawson,NA,United Kingdom,54.778,-6.556,1939,Male,Writer,Language,Humanities
DMX,New York,NY,United States,40.914167,-73.830556,1970,Male,Singer,Music,Arts
Arthur Leonard Schawlow,New York,NY,United States,40.914167,-73.830556,1921,Male,Physicist,Natural Sciences,Science & Technology
Robert Fisk,Maidstone,NA,United Kingdom,51.272,0.529,1946,Male,Writer,Language,Humanities
Thomas Young,Milverton,NA,United Kingdom,51.0221,-3.2489,1773,Male,Physicist,Natural Sciences,Science & Technology
Thornton Wilder,Madison,WI,United States,43.066667,-89.4,1897,Male,Writer,Language,Humanities
Melinda Gates,Dallas,TX,United States,32.775833,-96.796667,1964,Female,Businessperson,Business,Business & Law
Meg Ryan,Fairfield,CT,United States,41.175833,-73.271944,1961,Female,Actor,Film And Theatre,Arts
Terry Jones,Colwyn Bay,NA,United Kingdom,53.29,-3.7,1942,Male,Actor,Film And Theatre,Arts
DJ Shadow,Davis,CA,United States,38.553889,-121.738056,1972,Male,Musician,Music,Arts
Henry Mancini,Cleveland,OH,United States,NA,NA,1924,Male,Composer,Music,Arts
Eric Idle,South Shields,NA,United Kingdom,54.992,-1.429,1943,Male,Actor,Film And Theatre,Arts
Jonathan Edwards,Windsor,NA,United Kingdom,51.4791,-0.6095,1966,Male,Athlete,Individual Sports,Sports
John C. Calhoun,Abbeville,SC,United States,34.178611,-82.379167,1782,Male,Politician,Government,Institutions
Bessie Smith,Chattanooga,TN,United States,35.045556,-85.267222,1894,Female,Singer,Music,Arts
Don McLean,Lower Hudson Valley,NY,United States,40.928611,-73.784167,1945,Male,Singer,Music,Arts
Edward Heath,Broadstairs,NA,United Kingdom,51.35888,1.43944,1916,Male,Politician,Government,Institutions
Harold Wilson,Huddersfield,NA,United Kingdom,53.645,-1.7798,1916,Male,Politician,Government,Institutions
Jay Leno,Lower Hudson Valley,NY,United States,40.928611,-73.784167,1950,Male,Presenter,Media Personality,Public Figure
James Callaghan,Portsmouth,NA,United Kingdom,50.816667,-1.083333,1912,Male,Politician,Government,Institutions
Stephen Wolfram,London,NA,United Kingdom,51.507222,-0.1275,1959,Male,Computer Scientist,Computer Science,Science & Technology
Kate Winslet,Reading,NA,United Kingdom,51.454167,-0.973056,1975,Female,Actor,Film And Theatre,Arts
Carol W. Greider,Davis,CA,United States,38.553889,-121.738056,1961,Female,Biologist,Natural Sciences,Science & Technology
Robert Burns Woodward,Boston,MA,United States,42.358056,-71.063611,1917,Male,Chemist,Natural Sciences,Science & Technology
James Hetfield,Los Angeles,CA,United States,33.938056,-118.130833,1963,Male,Musician,Music,Arts
Weird Al Yankovic,Los Angeles,CA,United States,33.938056,-118.130833,1959,Male,Singer,Music,Arts
Danny Trejo,Los Angeles,CA,United States,NA,NA,1944,Male,Actor,Film And Theatre,Arts
Christopher Wren,East Knoyle,NA,United Kingdom,51.074,-2.171,1632,Male,Architect,Design,Arts
Bonnie Hunt,Chicago,IL,United States,41.836944,-87.684722,1961,Female,Actor,Film And Theatre,Arts
Olivia Newton-John,Cambridge,NA,United Kingdom,52.205,0.119,1948,Female,Actor,Film And Theatre,Arts
Jimmie Johnson,San Diego,CA,United States,32.798333,-116.96,1975,Male,Racecar Driver,Individual Sports,Sports
Cole Porter,Peru,IN,United States,40.757778,-86.067778,1891,Male,Composer,Music,Arts
Philip Johnson,Cleveland,OH,United States,41.482222,-81.669722,1906,Male,Architect,Design,Arts
Christopher Lee,Belgravia,NA,United Kingdom,51.49795,-0.15453,1922,Male,Actor,Film And Theatre,Arts
Ray Milland,Neath,NA,United Kingdom,51.66,-3.81,1907,Male,Actor,Film And Theatre,Arts
David Livingstone,Blantyre,NA,United Kingdom,55.793,-4.097,1813,Male,Explorer,Explorers,Exploration
John Coltrane,Hamlet,NC,United States,34.888056,-79.706111,1926,Male,Musician,Music,Arts
Matt LeBlanc,Boston,MA,United States,42.336944,-71.209722,1967,Male,Actor,Film And Theatre,Arts
Richard Meier,Newark,NJ,United States,NA,NA,1934,Male,Architect,Design,Arts
Robert Venturi,Philadelphia,PA,United States,39.95,-75.166667,1925,Male,Architect,Design,Arts
David Niven,London,NA,United Kingdom,51.507222,-0.1275,1910,Male,Actor,Film And Theatre,Arts
Curtis Mayfield,Chicago,IL,United States,41.836944,-87.684722,1942,Male,Musician,Music,Arts
Jim Thorpe,Prague,OK,United States,35.2,-96.94,1888,Male,Athlete,Individual Sports,Sports
Talcott Parsons,Colorado Springs,CO,United States,38.867255,-104.760749,1902,Male,Sociologist,Social Sciences,Science & Technology
Matt Dillon,Lower Hudson Valley,NY,United States,40.928611,-73.784167,1964,Male,Actor,Film And Theatre,Arts
John Travolta,Englewood,NJ,United States,40.891197,-73.972515,1954,Male,Actor,Film And Theatre,Arts
John Paul Jones,Sidcup,NA,United Kingdom,51.4263,0.1024,1946,Male,Musician,Music,Arts
Samuel L. Jackson,"Washington, D.C.",NA,United States,NA,NA,1948,Male,Actor,Film And Theatre,Arts
Chester Nimitz,Fredericksburg,TX,United States,30.274167,-98.871944,1885,Male,Military Personnel,Military,Institutions
Gloria Swanson,Chicago,IL,United States,41.836944,-87.684722,1899,Female,Actor,Film And Theatre,Arts
Dizzy Gillespie,Cheraw,SC,United States,34.696667,-79.895,1917,Male,Musician,Music,Arts
Charlie Parker,Kansas City,KS,United States,39.106667,-94.676389,1920,Male,Musician,Music,Arts
Lawrence Lessig,Rapid City,SD,United States,44.076,-103.228,1961,Male,Lawyer,Law,Business & Law
Lyndon B. Johnson,Stonewall,TX,United States,30.24,-98.66,1908,Male,Politician,Government,Institutions
Alvin Toffler,New York,NY,United States,40.7127,-74.0059,1928,Male,Writer,Language,Humanities
Charles Rennie Mackintosh,Glasgow,NA,United Kingdom,55.858,-4.259,1868,Male,Designer,Design,Arts
Andrew Lloyd Webber,London,NA,United Kingdom,51.5004,-0.1909,1948,Male,Composer,Music,Arts
Edward Witten,Baltimore,MD,United States,39.283333,-76.616667,1951,Male,Physicist,Natural Sciences,Science & Technology
Aaliyah,New York,NY,United States,40.692778,-73.990278,1979,Female,Singer,Music,Arts
Larry Bird,West Baden Springs,IN,United States,38.566944,-86.611667,1956,Male,Basketball Player,Team Sports,Sports
Barbara McClintock,Hartford,CT,United States,41.762736,-72.674286,1902,Female,Biologist,Natural Sciences,Science & Technology
James Dewar,Kincardine,NA,United Kingdom,56.069,-3.719,1842,Male,Chemist,Natural Sciences,Science & Technology
Peter Greenaway,Newport,NA,United Kingdom,51.583333,-3,1942,Male,Film Director,Film And Theatre,Arts
Roald Dahl,Llandaff,NA,United Kingdom,51.493333,-3.213333,1916,Male,Writer,Language,Humanities
Elizabeth Gaskell,Chelsea,NA,United Kingdom,51.4875,-0.1684,1810,Female,Writer,Language,Humanities
Quincy Jones,Chicago,IL,United States,41.836944,-87.684722,1933,Male,Musician,Music,Arts
Peter Gabriel,Chobham,NA,United Kingdom,51.3481,-0.6038,1950,Male,Singer,Music,Arts
Lennox Lewis,West Ham,NA,United Kingdom,NA,NA,1965,Male,Boxer,Individual Sports,Sports
Geoffrey of Monmouth,Wales,NA,United Kingdom,51.81,-2.72,1100,Male,Writer,Language,Humanities
Barry White,Galveston,TX,United States,29.281111,-94.825833,1944,Male,Singer,Music,Arts
Cher,El Centro,CA,United States,32.8,-115.566667,1946,Female,Actor,Film And Theatre,Arts
Mick Jagger,Dartford,NA,United Kingdom,51.464,0.254,1943,Male,Singer,Music,Arts
Prince,Minneapolis,MN,United States,44.983333,-93.266667,1958,Male,Singer,Music,Arts
Aaron Burr,Newark,NJ,United States,40.72422,-74.172574,1756,Male,Politician,Government,Institutions
James M. Buchanan,Murfreesboro,TN,United States,35.846143,-86.392078,1919,Male,Economist,Social Sciences,Science & Technology
Andrew S. Tanenbaum,New York,NY,United States,40.7127,-74.0059,1944,Male,Computer Scientist,Computer Science,Science & Technology
Stephen Crane,Newark,NJ,United States,40.72422,-74.172574,1871,Male,Writer,Language,Humanities
Ian Fleming,London,NA,United Kingdom,51.508755,-0.14743,1908,Male,Writer,Language,Humanities
Edred of England,Wessex,NA,United Kingdom,51.2,-2,920,Male,Politician,Government,Institutions
Athelstan of England,Wessex,NA,United Kingdom,51.2,-2,895,Male,Politician,Government,Institutions
John Denver,Roswell,NM,United States,33.387222,-104.528056,1943,Male,Singer,Music,Arts
Alan Shearer,Gosforth,NA,United Kingdom,55.007,-1.623,1970,Male,Soccer Player,Team Sports,Sports
John Glenn,Cambridge,OH,United States,40.025,-81.586667,1921,Male,Astronaut,Explorers,Exploration
Judy Garland,Grand Rapids,MN,United States,47.237222,-93.530278,1922,Female,Actor,Film And Theatre,Arts
James I of Scotland,Dunfermline,NA,United Kingdom,56.0694,-3.4638,1394,Male,Politician,Government,Institutions
Al Capone,New York,NY,United States,40.692778,-73.990278,1899,Male,Mafioso,Outlaws,Public Figure
"Edward, the Black Prince",Oxfordshire,NA,United Kingdom,51.845,-1.354,1330,Male,Nobleman,Government,Institutions
Ron Howard,Duncan,OK,United States,34.516667,-97.949444,1954,Male,Actor,Film And Theatre,Arts
"Alfred Tennyson, 1st Baron Tennyson",Somersby,NA,United Kingdom,53.234592,0.01219,1809,Male,Writer,Language,Humanities
Scatman John,Los Angeles,CA,United States,34.073333,-118.0275,1942,Male,Musician,Music,Arts
John Dryden,Aldwincle,NA,United Kingdom,52.41,-0.53,1631,Male,Writer,Language,Humanities
Burt Lancaster,New York,NY,United States,40.790278,-73.959722,1913,Male,Actor,Film And Theatre,Arts
Billy Crystal,New York,NY,United States,40.769167,-73.965556,1948,Male,Actor,Film And Theatre,Arts
Sam Houston,Rockbridge County,VA,United States,37.81,-79.45,1793,Male,Politician,Government,Institutions
Janet Jackson,Gary,IN,United States,41.595556,-87.345278,1966,Female,Singer,Music,Arts
Eadweard Muybridge,Kingston upon Thames,NA,United Kingdom,51.4103,-0.2995,1830,Male,Photographer,Fine Arts,Arts
Carl Sagan,New York,NY,United States,40.692778,-73.990278,1934,Male,Astronomer,Natural Sciences,Science & Technology
Danny Kaye,New York,NY,United States,40.692778,-73.990278,1913,Male,Actor,Film And Theatre,Arts
Jasper Johns,Augusta,GA,United States,33.466667,-81.966667,1930,Male,Painter,Fine Arts,Arts
Bruce Springsteen,Long Branch,NJ,United States,40.295372,-73.989899,1949,Male,Musician,Music,Arts
Kevin Smith,Red Bank,NJ,United States,40.348697,-74.066472,1970,Male,Film Director,Film And Theatre,Arts
Emmeline Pankhurst,Moss Side,NA,United Kingdom,53.456,-2.24,1858,Female,Social Activist,Activism,Public Figure
"Robert Baden-Powell, 1st Baron Baden-Powell",London,NA,United Kingdom,51.5172,-0.173,1857,Male,Military Personnel,Military,Institutions
Larry Page,East Lansing,MI,United States,42.7348,-84.4808,1973,Male,Computer Scientist,Computer Science,Science & Technology
Robert Peary,Cresson,PA,United States,40.4625,-78.586389,1856,Male,Military Personnel,Military,Institutions
Lisa Kudrow,Los Angeles,CA,United States,34.15917,-118.50028,1963,Female,Actor,Film And Theatre,Arts
Robert Zemeckis,Chicago,IL,United States,41.836944,-87.684722,1951,Male,Film Director,Film And Theatre,Arts
Robert Browning,Camberwell,NA,United Kingdom,51.4736,-0.0912,1812,Male,Writer,Language,Humanities
Eli Wallach,New York,NY,United States,40.67652,-74.011373,1915,Male,Actor,Film And Theatre,Arts
John Cusack,Chicago,IL,United States,42.046389,-87.694722,1966,Male,Actor,Film And Theatre,Arts
Groucho Marx,New York,NY,United States,40.7127,-74.0059,1890,Male,Actor,Film And Theatre,Arts
Michael Caine,Rotherhithe,NA,United Kingdom,51.4989,-0.0426,1933,Male,Actor,Film And Theatre,Arts
John Milnor,Orange,NJ,United States,40.76804,-74.235692,1931,Male,Mathematician,Math,Science & Technology
Charles Laughton,Scarborough,NA,United Kingdom,54.2773,-0.4017,1899,Male,Actor,Film And Theatre,Arts
Muddy Waters,Issaquena County,MS,United States,32.74,-90.99,1915,Male,Musician,Music,Arts
Travis Barker,Los Angeles,CA,United States,34.1,-117.466667,1975,Male,Musician,Music,Arts
James Francis Edward Stuart,London,NA,United Kingdom,51.504722,-0.1375,1688,Male,Politician,Government,Institutions
John Grisham,Jonesboro,AR,United States,35.828056,-90.694167,1955,Male,Writer,Language,Humanities
Grace Hopper,New York,NY,United States,40.7127,-74.0059,1906,Female,Computer Scientist,Computer Science,Science & Technology
Gertrude Stein,Allegheny,PA,United States,40.441667,-80,1874,Female,Writer,Language,Humanities
Man Ray,Philadelphia,PA,United States,39.95,-75.166667,1890,Male,Painter,Fine Arts,Arts
George Cukor,New York,NY,United States,40.717222,-73.989722,1899,Male,Film Director,Film And Theatre,Arts
J. B. S. Haldane,Oxford,NA,United Kingdom,51.751944,-1.257778,1892,Male,Biologist,Natural Sciences,Science & Technology
Matthew Morrison,Monterey,CA,United States,36.639167,-121.735278,1978,Male,Actor,Film And Theatre,Arts
Warren Beatty,Richmond,VA,United States,37.533333,-77.466667,1937,Male,Actor,Film And Theatre,Arts
George Gershwin,New York,NY,United States,40.692778,-73.990278,1898,Male,Composer,Music,Arts
Herman Melville,New York,NY,United States,40.790278,-73.959722,1819,Male,Writer,Language,Humanities
Joseph E. Stiglitz,Gary,IN,United States,41.595556,-87.345278,1943,Male,Economist,Social Sciences,Science & Technology
Deborah Kerr,Glasgow,NA,United Kingdom,55.858,-4.259,1921,Female,Actor,Film And Theatre,Arts
Jon Bon Jovi,Perth Amboy,NJ,United States,40.52016,-74.271331,1962,Male,Singer,Music,Arts
Norbert Wiener,Columbia,MO,United States,38.951554,-92.328597,1894,Male,Mathematician,Math,Science & Technology
Linda Hamilton,Salisbury,MD,United States,38.365833,-75.593333,1956,Female,Actor,Film And Theatre,Arts
P. G. Wodehouse,Guildford,NA,United Kingdom,51.2365,-0.5703,1881,Male,Writer,Language,Humanities
Frederick Sanger,Rendcomb,NA,United Kingdom,51.77,-1.97,1918,Male,Chemist,Natural Sciences,Science & Technology
Evelyn Waugh,Hampstead,NA,United Kingdom,51.5541,-0.1744,1903,Male,Writer,Language,Humanities
Meryl Streep,Summit,NJ,United States,40.715622,-74.364684,1949,Female,Actor,Film And Theatre,Arts
Stephen Fry,Hampstead,NA,United Kingdom,51.5541,-0.1744,1957,Male,Actor,Film And Theatre,Arts
John Turner,London,NA,United Kingdom,51.456,-0.301,1929,Male,Politician,Government,Institutions
John McCarthy,Boston,MA,United States,42.358056,-71.063611,1927,Male,Computer Scientist,Computer Science,Science & Technology
Humphrey Bogart,New York,NY,United States,40.7127,-74.0059,1899,Male,Actor,Film And Theatre,Arts
Sissy Spacek,Quitman,TX,United States,32.796111,-95.444444,1949,Female,Actor,Film And Theatre,Arts
Greer Garson,London,NA,United Kingdom,51.55033,0.056219,1904,Female,Actor,Film And Theatre,Arts
Fredric March,Racine,WI,United States,42.726111,-87.805833,1897,Male,Actor,Film And Theatre,Arts
John Pemberton,Knoxville,GA,United States,32.724167,-83.9975,1831,Male,Chemist,Natural Sciences,Science & Technology
Patricia Highsmith,Fort Worth,TX,United States,32.757358,-97.333181,1921,Female,Writer,Language,Humanities
Alan Shepard,Derry,NH,United States,42.880556,-71.327222,1923,Male,Astronaut,Explorers,Exploration
Vanessa Redgrave,Greenwich,NA,United Kingdom,51.48,0,1937,Female,Actor,Film And Theatre,Arts
Muhammad Ali,Louisville,KY,United States,38.25,-85.766667,1942,Male,Boxer,Individual Sports,Sports
Chuck Palahniuk,Pasco,WA,United States,46.238611,-119.108611,1962,Male,Writer,Language,Humanities
Jack Kilby,Jefferson City,MO,United States,38.576667,-92.173611,1923,Male,Engineer,Engineering,Science & Technology
Liam Neeson,Ballymena,NA,United Kingdom,54.86,-6.28,1952,Male,Actor,Film And Theatre,Arts
Irving Langmuir,New York,NY,United States,40.692778,-73.990278,1881,Male,Chemist,Natural Sciences,Science & Technology
Benjamin Britten,Lowestoft,NA,United Kingdom,52.48,1.75,1913,Male,Composer,Music,Arts
Glenn Miller,Clarinda,IA,United States,40.7375,-95.035833,1904,Male,Musician,Music,Arts
Ginger Rogers,Independence,MO,United States,39.079722,-94.406667,1911,Female,Actor,Film And Theatre,Arts
E. M. Forster,Marylebone,NA,United Kingdom,51.5177,-0.147,1879,Male,Writer,Language,Humanities
Fred Astaire,Omaha,NE,United States,41.25,-96,1899,Male,Actor,Film And Theatre,Arts
Jean-Michel Basquiat,New York,NY,United States,40.692778,-73.990278,1960,Male,Artist,Fine Arts,Arts
James Cagney,New York,NY,United States,40.7127,-74.0059,1899,Male,Actor,Film And Theatre,Arts
H. Rider Haggard,Bradenham,NA,United Kingdom,52.64,0.844,1856,Male,Writer,Language,Humanities
Samuel Richardson,Mackworth,NA,United Kingdom,52.935,-1.535,1689,Male,Writer,Language,Humanities
Jennifer Lopez,New York,NY,United States,NA,NA,1969,Female,Singer,Music,Arts
Graham Greene,Berkhamsted,NA,United Kingdom,51.76,-0.56,1904,Male,Writer,Language,Humanities
Buzz Aldrin,Glen Ridge,NJ,United States,40.804798,-74.204569,1930,Male,Astronaut,Explorers,Exploration
Sam Peckinpah,Fresno,CA,United States,36.75,-119.766667,1925,Male,Film Director,Film And Theatre,Arts
Pete Sampras,Potomac,MD,United States,39.016667,-77.216667,1971,Male,Tennis Player,Individual Sports,Sports
George Everest,Crickhowell,NA,United Kingdom,51.8597,-3.1372,1790,Male,Geographer,Social Sciences,Science & Technology
Olav V of Norway,Sandringham House,NA,United Kingdom,52.829722,0.513889,1903,Male,Politician,Government,Institutions
Henry Wadsworth Longfellow,Portland,ME,United States,43.666667,-70.266667,1807,Male,Writer,Language,Humanities
William Saroyan,Fresno,CA,United States,36.75,-119.766667,1908,Male,Writer,Language,Humanities
Charles Ives,Danbury,CT,United States,41.402222,-73.471111,1874,Male,Composer,Music,Arts
Arnold J. Toynbee,London,NA,United Kingdom,51.507222,-0.1275,1889,Male,Historian,History,Humanities
Richard Francis Burton,Torquay,NA,United Kingdom,50.4792,-3.5305,1821,Male,Explorer,Explorers,Exploration
Philip José Farmer,Terre Haute,IN,United States,39.469586,-87.389762,1918,Male,Writer,Language,Humanities
Maurice Greene,Kansas City,KS,United States,39.106667,-94.676389,1974,Male,Athlete,Individual Sports,Sports
Daphne du Maurier,London,NA,United Kingdom,51.507222,-0.1275,1907,Female,Writer,Language,Humanities
Joseph Greenberg,New York,NY,United States,40.692778,-73.990278,1915,Male,Linguist,Language,Humanities
Lionel Barrymore,Philadelphia,PA,United States,39.95,-75.166667,1878,Male,Actor,Film And Theatre,Arts
Carl Lewis,Birmingham,AL,United States,33.525,-86.813,1961,Male,Athlete,Individual Sports,Sports
Kamehameha I,Kohala,HI,United States,20.257222,-155.876667,1758,Male,Politician,Government,Institutions
Ken Follett,Cardiff,NA,United Kingdom,51.483333,-3.183333,1949,Male,Writer,Language,Humanities
Boris Karloff,East Dulwich,NA,United Kingdom,51.462,-0.084,1887,Male,Actor,Film And Theatre,Arts
David O. Selznick,Pittsburgh,PA,United States,40.439722,-79.976389,1902,Male,Producer,Business,Business & Law
Jennifer Jones,Tulsa,OK,United States,36.131389,-95.937222,1919,Female,Actor,Film And Theatre,Arts
Steven Seagal,Lansing,MI,United States,42.733611,-84.546667,1952,Male,Actor,Film And Theatre,Arts
Robert Wise,Winchester,IN,United States,40.173056,-84.9775,1914,Male,Film Director,Film And Theatre,Arts
Jessica Lange,Cloquet,MN,United States,46.721667,-92.459444,1949,Female,Actor,Film And Theatre,Arts
Paul Scofield,Birmingham,NA,United Kingdom,52.483056,-1.893611,1922,Male,Actor,Film And Theatre,Arts
John Barrymore,Philadelphia,PA,United States,39.95,-75.166667,1882,Male,Actor,Film And Theatre,Arts
Count Basie,Red Bank,NJ,United States,40.348697,-74.066472,1904,Male,Musician,Music,Arts
Martin Sheen,Dayton,OH,United States,39.759444,-84.191667,1940,Male,Actor,Film And Theatre,Arts
Faye Dunaway,Bascom,FL,United States,30.928889,-85.116944,1941,Female,Actor,Film And Theatre,Arts
Jack Kirby,New York,NY,United States,40.7127,-74.0059,1917,Male,Comic Artist,Design,Arts
Anna Nicole Smith,Harris County,TX,United States,29.86,-95.39,1967,Female,Celebrity,Media Personality,Public Figure
Kareem Abdul-Jabbar,New York,NY,United States,40.7127,-74.0059,1947,Male,Basketball Player,Team Sports,Sports
Kevin Federline,Fresno,CA,United States,36.75,-119.766667,1978,Male,Companion,Companions,Public Figure
Bobby Robson,Sacriston,NA,United Kingdom,54.817,-1.626,1933,Male,Soccer Player,Team Sports,Sports
Justin Timberlake,Memphis,TN,United States,35.117365,-89.971068,1981,Male,Singer,Music,Arts
Selena,Lake Jackson,TX,United States,29.036944,-95.438333,1971,Female,Singer,Music,Arts
Leon M. Lederman,New York,NY,United States,40.7127,-74.0059,1922,Male,Physicist,Natural Sciences,Science & Technology
Charles Taze Russell,Allegheny,PA,United States,40.441667,-80,1852,Male,Religious Figure,Religion,Institutions
Gwen Stefani,Los Angeles,CA,United States,33.88,-117.928611,1969,Female,Singer,Music,Arts
Joseph John Thomson,Manchester,NA,United Kingdom,53.466667,-2.233333,1856,Male,Physicist,Natural Sciences,Science & Technology
Lee Marvin,New York,NY,United States,40.7127,-74.0059,1924,Male,Actor,Film And Theatre,Arts
Lady Margaret Beaufort,Bletsoe,NA,United Kingdom,NA,NA,1443,Female,Politician,Government,Institutions
Debbie Reynolds,El Paso,TX,United States,31.790278,-106.423333,1932,Female,Actor,Film And Theatre,Arts
Mary Tudor,London,NA,United Kingdom,51.460388,-0.310219,1496,Female,Companion,Companions,Public Figure
Robert Southey,Bristol,NA,United Kingdom,51.45,-2.583333,1774,Male,Writer,Language,Humanities
Margaret Tudor,London,NA,United Kingdom,51.460388,-0.310219,1489,Female,Companion,Companions,Public Figure
Larry Flynt,Magoffin County,KY,United States,37.7,-83.06,1942,Male,Businessperson,Business,Business & Law
Patrick Stewart,Mirfield,NA,United Kingdom,53.6807,-1.6888,1940,Male,Actor,Film And Theatre,Arts
Henry the Young King,London,NA,United Kingdom,51.507222,-0.1275,1155,Male,Politician,Government,Institutions
Martin Scorsese,New York,NY,United States,40.75,-73.866667,1942,Male,Film Director,Film And Theatre,Arts
John Backus,Philadelphia,PA,United States,39.95,-75.166667,1924,Male,Computer Scientist,Computer Science,Science & Technology
Ed Gein,La Crosse County,WI,United States,43.91,-91.11,1906,Male,Extremist,Outlaws,Public Figure
Johnny Depp,Owensboro,KY,United States,37.757748,-87.11839,1963,Male,Actor,Film And Theatre,Arts
Paul Walker,Los Angeles,CA,United States,34.170833,-118.25,1973,Male,Actor,Film And Theatre,Arts
Martin Frobisher,Altofts,NA,United Kingdom,53.697,-1.416,1535,Male,Explorer,Explorers,Exploration
David Lean,Croydon,NA,United Kingdom,51.3727,-0.1099,1908,Male,Film Director,Film And Theatre,Arts
J. M. W. Turner,Covent Garden,NA,United Kingdom,51.51197,-0.1228,1775,Male,Painter,Fine Arts,Arts
"Prince William, Duke of Cambridge",London,NA,United Kingdom,51.5172,-0.173,1982,Male,Nobleman,Government,Institutions
Marvin Minsky,New York,NY,United States,40.7127,-74.0059,1927,Male,Computer Scientist,Computer Science,Science & Technology
Edward Furlong,Los Angeles,CA,United States,34.170833,-118.25,1977,Male,Actor,Film And Theatre,Arts
Robert Englund,Los Angeles,CA,United States,34.170833,-118.25,1947,Male,Actor,Film And Theatre,Arts
Frank Miller,Olney,MD,United States,39.153022,-77.074700000000007,1957,Male,Comic Artist,Design,Arts
Milton Friedman,New York,NY,United States,40.692778,-73.990278,1912,Male,Economist,Social Sciences,Science & Technology
Emily Greene Balch,Boston,MA,United States,42.358056,-71.063611,1867,Female,Social Activist,Activism,Public Figure
James Mason,Huddersfield,NA,United Kingdom,53.645,-1.7798,1909,Male,Actor,Film And Theatre,Arts
Joe Lieberman,Stamford,CT,United States,41.052778000000004,-73.538889,1942,Male,Politician,Government,Institutions
Michael Moore,Flint,MI,United States,43.01,-83.69,1954,Male,Film Director,Film And Theatre,Arts
Jenna Jameson,Las Vegas,NV,United States,36.121514,-115.173851,1974,Female,Pornographic Actor,Media Personality,Public Figure
Harold Shipman,Nottingham,NA,United Kingdom,52.95,-1.133333,1946,Male,Physician,Medicine,Science & Technology
Archibald Hill,Bristol,NA,United Kingdom,51.45,-2.583333,1886,Male,Biologist,Natural Sciences,Science & Technology
Anton LaVey,Chicago,IL,United States,41.836944,-87.684722,1930,Male,Writer,Language,Humanities
John Hanning Speke,Somerset,NA,United Kingdom,51.18,-3,1827,Male,Military Personnel,Military,Institutions
John Ruskin,London,NA,United Kingdom,51.507222,-0.1275,1819,Male,Critic,Language,Humanities
George Martin,HM Prison Holloway,NA,United Kingdom,51.554008,-0.125308,1926,Male,Musician,Music,Arts
John Brown,Torrington,CT,United States,41.8,-73.116667,1800,Male,Social Activist,Activism,Public Figure
J. Christopher Stevens,Grass Valley,CA,United States,39.219167,-121.058333,1960,Male,Diplomat,Government,Institutions
Fergie,Los Angeles,CA,United States,NA,NA,1975,Female,Singer,Music,Arts
Murray Rothbard,New York,NY,United States,40.8373,-73.886,1926,Male,Economist,Social Sciences,Science & Technology
John Entwistle,Chiswick,NA,United Kingdom,51.4925,-0.2633,1944,Male,Musician,Music,Arts
Tyson Chandler,Hanford,CA,United States,36.3275,-119.645556,1982,Male,Basketball Player,Team Sports,Sports
Julie Andrews,Walton-on-Thames,NA,United Kingdom,51.3868,-0.4133,1935,Female,Actor,Film And Theatre,Arts
Damon Hill,Hampstead,NA,United Kingdom,51.5541,-0.1744,1960,Male,Racecar Driver,Individual Sports,Sports
Van Morrison,Belfast,NA,United Kingdom,NA,NA,1945,Male,Singer,Music,Arts
David Attenborough,Isleworth,NA,United Kingdom,51.4666,-0.3363,1926,Male,Presenter,Media Personality,Public Figure
Yusuf Islam,Marylebone,NA,United Kingdom,51.5177,-0.147,1948,Male,Musician,Music,Arts
Michael Douglas,New Brunswick,NJ,United States,40.486678,-74.444414,1944,Male,Actor,Film And Theatre,Arts
Merton Miller,Boston,MA,United States,42.358056,-71.063611,1923,Male,Economist,Social Sciences,Science & Technology
Samuel Barber,West Chester,PA,United States,39.958611,-75.605,1910,Male,Composer,Music,Arts
Mel Brooks,New York,NY,United States,40.692778,-73.990278,1926,Male,Film Director,Film And Theatre,Arts
Ralph Vaughan Williams,Down Ampney,NA,United Kingdom,51.666667,-1.85,1872,Male,Composer,Music,Arts
William Pitt the Younger,London,NA,United Kingdom,51.378,0.0192,1759,Male,Politician,Government,Institutions
Dean Acheson,Middletown,CT,United States,41.562222,-72.650833,1893,Male,Diplomat,Government,Institutions
John Foster Dulles,"Washington, D.C.",NA,United States,NA,NA,1888,Male,Politician,Government,Institutions
Alexander Haig,Bala Cynwyd,PA,United States,40.0075,-75.234167,1924,Male,Military Personnel,Military,Institutions
William Westmoreland,Saxon,SC,United States,34.959722,-81.966944,1914,Male,Military Personnel,Military,Institutions
The Rock,San Francisco-Bay Area,CA,United States,37.668889,-122.080833,1972,Male,Actor,Film And Theatre,Arts
Helena Bonham Carter,Golders Green,NA,United Kingdom,51.5734,-0.1982,1966,Female,Actor,Film And Theatre,Arts
Elliott Smith,Omaha,NE,United States,41.25,-96,1969,Male,Musician,Music,Arts
Robin Tunney,Chicago,IL,United States,41.836944,-87.684722,1972,Female,Actor,Film And Theatre,Arts
Liza Minnelli,Los Angeles,CA,United States,34.1,-118.333333,1946,Female,Actor,Film And Theatre,Arts
Katey Sagal,Los Angeles,CA,United States,34.1,-118.333333,1954,Female,Actor,Film And Theatre,Arts
Harold Macmillan,Chelsea,NA,United Kingdom,51.4875,-0.1684,1894,Male,Politician,Government,Institutions
